Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
Филиал МГТУГА в Ростове-на-Дону,2021,25.05.03,"Техническая эксплуатация радиоэлектронного оборудования, аэропортов и воздушных трасс",140
Филиал МГТУГА в Ростове-на-Дону,2022,25.05.03,"Техническая эксплуатация радиоэлектронного оборудования, аэропортов и воздушных трасс",126
Филиал МГТУГА в Ростове-на-Дону,2023,25.05.03,"Техническая эксплуатация радиоэлектронного оборудования, аэропортов и воздушных трасс",105
Филиал МГТУГА в Ростове-на-Дону,2024,25.05.03,"Техническая эксплуатация радиоэлектронного оборудования, аэропортов и воздушных трасс",123
Филиал МГТУГА в Ростове-на-Дону,2021,25.05.03,"Техническое обслуживание и ремонт радиоэлектронного оборудования, аэропортов и воздушных т..",116
Филиал МГТУГА в Ростове-на-Дону,2022,25.05.03,"Техническое обслуживание и ремонт радиоэлектронного оборудования, аэропортов и воздушных т..",126
Филиал МГТУГА в Ростове-на-Дону,2023,25.05.03,"Техническое обслуживание и ремонт радиоэлектронного оборудования, аэропортов и воздушных т..",125
Филиал МГТУГА в Ростове-на-Дону,2024,25.05.03,"Техническое обслуживание и ремонт радиоэлектронного оборудования, аэропортов и воздушных т..",123
