Вуз,Год,Код специальности,Направление,Проходной балл (очная форма)
Филиал ЮФУ в г. Новошахтинске,2021,44.03.01,Начальное образование,184
Филиал ЮФУ в г. Новошахтинске,2022,44.03.01,Начальное образование,146
Филиал ЮФУ в г. Новошахтинске,2023,44.03.01,Начальное образование,167
Филиал ЮФУ в г. Новошахтинске,2024,44.03.01,Начальное образование,167
Филиал ЮФУ в г. Новошахтинске,2021,09.03.01,Программирование и системная интеграция ИТ-решений,141
Филиал ЮФУ в г. Новошахтинске,2022,09.03.01,Программирование и системная интеграция ИТ-решений,151
Филиал ЮФУ в г. Новошахтинске,2023,09.03.01,Программирование и системная интеграция ИТ-решений,143
Филиал ЮФУ в г. Новошахтинске,2024,09.03.01,Программирование и системная интеграция ИТ-решений,165
